district,Year,Rape,Kidnapping_Abduction,Dowry_Deaths,Assault_to_outrage_her_modesty,Insult_to_modesty_of_Women,Cruelty_by_Husband_or_his_Relatives,Importation_Girls,total_crime
Agra,2001,66,132,63,110,114,327,0,812
Aligarh,2001,50,78,44,90,54,258,0,574
Allahabad,2001,42,75,56,85,105,226,0,589
Ambedkar Nagar,2001,19,29,14,15,9,87,0,173
Auraiya,2001,11,25,21,13,7,26,0,103
Azamgarh,2001,11,41,32,14,15,81,0,194
Badaun,2001,47,41,62,51,14,76,0,291
Baghpat,2001,15,17,20,18,12,64,0,146
Bahraich,2001,14,19,19,15,17,62,0,146
Ballia,2001,18,17,19,7,22,35,0,118
Balrampur,2001,8,19,12,23,11,30,0,103
Banda,2001,27,18,21,51,18,50,0,185
Barabanki,2001,41,55,35,37,21,188,0,377
Bareilly,2001,93,98,57,110,40,421,0,819
Basti,2001,18,23,22,28,12,48,0,151
Bijnor,2001,38,59,31,67,38,230,0,463
Bulandshahar,2001,31,64,45,71,219,227,0,657
Chandoli,2001,4,11,16,13,0,22,0,66
Chitrakoot Dham,2001,8,3,8,16,4,2,0,41
Deoria,2001,7,33,27,15,15,44,0,141
Etah,2001,57,59,68,68,24,156,0,432
Etawah,2001,20,22,29,25,26,52,0,174
Faizabad,2001,22,26,17,24,18,49,0,156
Fatehgarh,2001,9,38,22,23,28,93,0,213
Fatehpur,2001,28,27,46,25,15,59,0,200
Firozabad,2001,22,59,48,33,69,89,0,320
Gautambudh Nagar,2001,16,30,17,39,40,54,0,196
Ghaziabad,2001,31,79,33,54,138,140,0,475
Ghazipur,2001,6,19,22,18,29,56,0,150
Gonda,2001,18,21,26,19,13,46,0,143
Gorakhpur,2001,13,52,16,25,36,52,0,194
Hamirpur,2001,14,16,22,32,7,25,0,116
Hardoi,2001,70,60,63,86,21,136,0,436
Hathras,2001,16,26,31,63,26,93,0,255
J.P.Nagar,2001,23,36,14,35,22,98,0,228
Jalaun,2001,6,14,29,40,21,65,0,175
Jaunpur,2001,11,15,43,21,19,85,0,194
Jhansi,2001,18,20,31,32,30,69,0,200
Kannauj,2001,8,19,22,18,7,63,0,137
Kanpur Dehat,2001,21,34,39,45,7,79,0,225
Kanpur Nagar,2001,47,176,64,106,213,356,0,962
Kaushambi,2001,26,23,28,44,9,72,0,202
Khiri,2001,83,90,88,99,24,138,0,522
Kushi Nagar,2001,7,20,18,19,35,14,0,113
Lalitpur,2001,20,5,10,26,9,31,0,101
Lucknow,2001,62,138,47,103,148,337,0,835
Maharajganj,2001,13,13,7,13,37,10,0,93
Mahoba,2001,12,7,11,22,3,4,0,59
Mainpuri,2001,13,31,42,32,3,63,0,184
Mathura,2001,25,33,21,48,50,77,0,254
Mau,2001,17,25,16,33,27,39,0,157
Meerut,2001,28,96,34,59,123,236,0,576
Mirzapur,2001,16,6,23,16,21,39,0,121
Moradabad,2001,44,72,45,79,85,207,0,532
Muzaffarnagar,2001,54,67,24,51,33,265,0,494
Pilibhit,2001,64,47,44,50,20,195,0,420
Pratapgarh,2001,18,35,33,21,9,44,0,160
Raibareilly,2001,58,50,29,57,17,137,0,348
Rampur,2001,22,27,18,11,0,49,0,127
Saharanpur,2001,41,52,21,45,96,196,0,451
Sant Kabirnagar,2001,9,16,7,11,6,26,0,75
Shahjahanpur,2001,55,68,66,61,21,146,0,417
Shrawasti,2001,13,18,4,16,8,18,0,77
Sidharthnagar,2001,12,24,13,20,3,28,0,100
Sitapur,2001,85,47,82,71,35,106,0,426
Sonbhadra,2001,5,6,12,9,4,5,0,41
St.Ravidasnagar,2001,1,7,9,3,3,23,0,46
Sultanpur,2001,29,35,38,34,17,153,0,306
Unnao,2001,53,79,63,100,12,168,0,475
Varanasi,2001,27,35,31,19,90,119,0,321
Agra,2002,41,102,50,86,82,372,0,733
Aligarh,2002,31,69,38,72,21,169,0,400
Allahabad,2002,40,63,63,57,55,147,0,425
Ambedkar Nagar,2002,10,34,16,16,11,30,0,117
Auraiya,2002,10,17,29,20,4,42,0,122
Azamgarh,2002,7,7,23,27,23,72,0,159
Badaun,2002,31,46,44,48,5,63,0,237
Baghpat,2002,15,15,17,14,16,45,0,122
Bahraich,2002,14,17,16,10,8,0,0,65
Ballia,2002,7,14,16,12,45,23,0,117
Balrampur,2002,13,9,5,9,5,11,0,52
Banda,2002,20,6,21,31,9,43,0,130
Barabanki,2002,32,39,27,29,9,171,0,307
Bareilly,2002,65,93,62,70,54,261,0,605
Basti,2002,16,27,24,13,20,31,0,131
Bijnor,2002,26,49,34,34,33,156,0,332
Bulandshahar,2002,33,60,47,70,104,185,0,499
Chandoli,2002,6,6,14,11,8,24,0,69
Chitrakoot Dham,2002,8,2,9,23,2,10,0,54
Deoria,2002,5,18,15,10,10,18,0,76
Etah,2002,37,49,81,43,15,85,0,310
Etawah,2002,12,21,25,32,11,32,0,133
Faizabad,2002,15,17,12,18,24,33,0,119
Fatehgarh,2002,9,25,32,0,0,0,0,66
Fatehpur,2002,12,19,26,18,12,44,0,131
Firozabad,2002,26,51,36,37,46,105,0,301
Gautambudh Nagar,2002,19,29,17,20,30,42,0,157
Ghaziabad,2002,20,69,21,35,108,176,0,429
Ghazipur,2002,4,7,14,12,12,50,0,99
Gonda,2002,11,23,29,20,16,27,0,126
Gorakhpur,2002,27,39,30,28,19,56,0,199
Hamirpur,2002,9,6,17,34,4,28,0,98
Hardoi,2002,39,36,26,54,36,72,0,263
Hathras,2002,25,30,21,41,12,107,0,236
J.P.Nagar,2002,15,27,10,22,10,80,0,164
Jalaun,2002,4,14,22,19,17,22,0,98
Jaunpur,2002,8,15,23,18,10,45,0,119
Jhansi,2002,14,11,14,21,2,42,0,104
Kannauj,2002,6,16,15,10,2,37,0,86
Kanpur Dehat,2002,13,31,37,26,3,73,0,183
Kanpur Nagar,2002,30,126,50,75,123,307,0,711
Kaushambi,2002,28,15,13,25,2,32,0,115
Khiri,2002,41,50,66,45,14,97,0,313
Kushi Nagar,2002,7,15,18,22,35,7,0,104
Lalitpur,2002,10,1,9,14,13,5,0,52
Lucknow,2002,43,147,59,92,105,369,0,815
